2025-05-21 10:42:14 - Погода в London: 15.1°C, Overcast
2025-05-21 10:44:05 - Погода в London: 15.1°C, Overcast
2025-05-21 10:44:17 - Погода в London: 15.1°C, Overcast
2025-05-21 10:44:33 - Погода в London: 15.1°C, Overcast
2025-05-21 10:58:12 - Погода в London: 15.4°C, Overcast
2025-05-21 10:58:47 - Погода в London: 15.4°C, Overcast
2025-05-21 11:04:45 - Погода в London: 16.1°C, Partly Cloudy
2025-05-21 11:04:46 - Погода в London: 16.1°C, Partly Cloudy
2025-05-21 11:04:47 - Погода в London: 16.1°C, Partly Cloudy
2025-05-21 11:10:34 - Погода в London: 16.1°C, Partly Cloudy
2025-05-21 11:13:36 - Погода в London: 16.1°C, Partly Cloudy
2025-05-21 11:13:38 - Погода в London: 16.1°C, Partly Cloudy
2025-05-21 11:27:49 - Погода в London: 16.2°C, Partly cloudy
2025-05-21 13:12:33 - Погода в London: 18.3°C, Moderate rain
2025-05-21 13:12:34 - Погода в London: 18.3°C, Moderate rain
2025-05-21 13:12:37 - Погода в London: 18.3°C, Moderate rain
2025-05-21 13:13:20 - Погода в London: 18.3°C, Moderate rain
2025-05-21 13:13:53 - Погода в London: 18.3°C, Moderate rain
2025-05-21 13:14:36 - Погода в London: 18.3°C, Moderate rain
2025-05-21 13:14:44 - Погода в London: 18.3°C, Moderate rain
2025-05-21 13:15:04 - Погода в London: 18.3°C, Moderate rain
2025-05-21 13:16:45 - Погода в London: 18.3°C, Moderate rain
2025-05-21 13:17:08 - Погода в London: 18.3°C, Moderate rain
2025-05-21 13:17:49 - Погода в London: 19.1°C, Moderate rain
2025-05-21 13:18:18 - Погода в London: 19.1°C, Moderate rain
2025-05-21 13:20:34 - Погода в London: 19.1°C, Moderate rain
2025-05-21 13:20:47 - Погода в London: 19.1°C, Moderate rain
2025-05-21 13:21:03 - Погода в London: 19.1°C, Moderate rain
2025-05-21 13:21:28 - Погода в London: 19.1°C, Moderate rain
2025-05-21 13:21:44 - Погода в London: 19.1°C, Moderate rain
2025-05-21 13:21:55 - Погода в London: 19.1°C, Moderate rain
2025-05-21 13:22:05 - Погода в London: 19.1°C, Moderate rain
2025-05-21 13:22:43 - Погода в London: 19.1°C, Moderate rain
2025-05-21 13:22:57 - Погода в London: 19.1°C, Moderate rain
2025-05-21 13:51:34 - Погода в London: 19.2°C, Moderate rain
2025-05-21 13:52:24 - Погода в London: 19.2°C, Moderate rain
2025-05-21 13:55:05 - Погода в London: 19.2°C, Moderate rain
2025-05-21 13:55:35 - Погода в London: 19.2°C, Moderate rain
2025-05-21 13:56:47 - Погода в London: 19.2°C, Moderate rain
2025-05-21 14:12:07 - Погода в London: 19.2°C, Moderate rain
2025-05-21 14:31:14 - Погода в London: 19°C, Moderate rain
[2025-05-21 14:31:14] Погода в London: 19.0°C, Moderate rain
2025-05-21 14:31:34 - Погода в London: 19°C, Moderate rain
[2025-05-21 14:31:34] Погода в London: 19.0°C, Moderate rain
2025-05-21 14:31:35 - Погода в London: 19°C, Moderate rain
[2025-05-21 14:31:35] Погода в London: 19.0°C, Moderate rain
2025-05-21 14:35:59 - Погода в London: 20°C, Moderate rain
[2025-05-21 14:35:59] Погода в London: 20.0°C, Moderate rain
